iter	Passed	Remaining
657	18222	20548
658	18261	20533
659	18294	20512
660	18328	20490
661	18361	20469
662	18409	20464
663	18445	20445
664	18483	20429
665	18517	20408
666	18556	20392
667	18587	20368
668	18623	20349
669	18657	20327
670	18689	20305
671	18725	20285
672	18775	20282
673	18826	20278
674	18863	20260
675	18890	20231
676	18918	20203
677	18942	20172
678	18971	20144
679	18997	20114
680	19022	20083
681	19049	20054
682	19075	20025
683	19101	19995
684	19130	19967
685	19157	19939
686	19184	19910
687	19212	19882
688	19237	19851
689	19265	19824
690	19291	19794
691	19317	19764
692	19341	19731
693	19368	19703
694	19396	19675
695	19424	19648
696	19451	19619
697	19479	19591
698	19506	19562
699	19534	19534
700	19561	19505
701	19587	19475
702	19614	19446
703	19640	19417
704	19668	19389
705	19693	19359
706	19719	19329
707	19746	19300
708	19779	19276
709	19809	19251
710	19835	19221
711	19864	19194
712	19888	19163
713	19916	19135
714	19942	19105
715	19969	19076
716	19997	19048
717	20020	19016
718	20046	18987
719	20073	18958
720	20098	18928
721	20123	18896
722	20151	18869
723	20181	18843
724	20210	18816
725	20235	18785
726	20262	18757
727	20288	18727
728	20315	18699
729	20343	18671
730	20368	18641
731	20397	18614
732	20426	18586
733	20451	18556
734	20481	18530
735	20509	18503
736	20534	18472
737	20565	18447
738	20595	18421
739	20622	18392
740	20648	18363
741	20676	18335
742	20701	18305
743	20735	18282
744	20767	18258
745	20797	18232
746	20824	18203
747	20849	18173
748	20876	18144
749	20902	18115
750	20929	18087
751	20959	18061
752	20985	18031
753	21012	18002
754	21037	17972
755	21064	17944
756	21090	17914
757	21115	17884
758	21140	17853
759	21168	17825
760	21192	17795
761	21220	17767
762	21245	17737
763	21271	17707
764	21295	17676
765	21319	17645
766	21345	17616
767	21372	17587
768	21397	17557
769	21426	17531
770	21453	17502
771	21481	17474
772	21507	17445
773	21533	17415
774	21559	17387
775	21589	17360
776	21614	17330
777	21639	17300
778	21671	17275
779	21696	17246
780	21724	17218
781	21749	17188
782	21780	17162
783	21805	17133
784	21833	17105
785	21861	17077
786	21888	17049
787	21913	17018
788	21938	16989
789	21964	16959
790	21993	16933
791	22019	16904
792	22044	16874
793	22071	16845
794	22096	16815
795	22124	16787
796	22162	16768
797	22200	16747
798	22229	16720
799	22260	16695
800	22286	16666
801	22312	16636
802	22338	16607
